,states,x,y
0,Andhra Pradesh,-69.0,-162.0
1,Arunachal Pradesh,234.0,125.0
2,Assam,212.0,80.0
3,Bihar,74.0,63.0
4,Chhattisgarh,-4.0,-36.0
5,Goa,-183.0,-152.0
6,Gujarat,-235.0,8.0
7,Haryana,-119.0,135.0
8,Himachal Pradesh,-103.0,193.0
9,Jammu and Kashmir,-145.0,224.0
10,Jharkhand,64.0,13.0
11,Karnataka,-145.0,-181.0
12,Kerala,-127.0,-258.0
13,Madhya Pradesh,-81.0,8.0
14,Maharashtra,-156.0,-67.0
15,Manipur,238.0,51.0
16,Meghalaya,174.0,67.0
17,Mizoram,217.0,23.0
18,Nagaland,244.0,86.0
19,Odisha,47.0,-49.0
20,Punjab,-139.0,171.0
21,Rajasthan,-187.0,81.0
22,Sikkim,123.0,100.0
23,Tamil Nadu,-81.0,-237.0
24,Telangana,-67.0,-103.0
25,Tripura,192.0,26.0
26,Uttar Pradesh,-35.0,86.0
27,Uttarakhand,-62.0,154.0
28,West Bengal,117.0,2.0
